77,1,25/11/2024,11/10/2024,70.00,20.00,0.00,100.00,190.00,,quote,paid,68,1,"Allan Deer1",allande@mail.com,"1702 Modoc Alley",,"White Bird",US,55550,8520001450,"Allan Deer2","1702 Modoc Alley1","1702 Modoc Alley","White Bird",US,55550
88,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
89,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
90,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
91,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
92,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
93,10,26/11/2024,25/11/2024,110.00,0.00,0.00,13.20,123.20,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
94,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
95,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
96,10,25/11/2024,11/10/2024,70.00,0.00,0.00,8.40,78.40,,quote,open,80,10,"Albert M Dunford",albd@mail.com,"1143 Kuhl Avenue",,Norcross,US,30092,8520000010,"Albert M Dunford","1143 Kuhl Avenue","1143 Kuhl Avenue",Norcross,US,30092
